A1,
AZ30,__,AZ31,__,__,__,__,AZ333,AZ333,AZ333
__,__,AZ37,__,AZ38,__,AZ39,AZ39,__,__
__,__,__,__,AZ43,__,__,__,AZ45,__
AZ46,AZ46,__,__,AZ48,__,AZ49,__,__,__


1-2,
AZ51,AZ51,__,__,AZ53,__,AZ54,__,AZ55,__
AZ56,__,AZ57,__,AZ58,AZ58,__,__,AZ60,AZ60
AZ61,__,AZ62,__,AZ63,__,__,__,AZ65,AZ65
__,__,AZ67,__,__,__,__,__,__,__
__,__,__,__,__,__,AZ74,__,__,__
__,__,__,__,__,__,AZ79,__,__,__
__,__,AZ82,AZ82,AZ83,__,__,__,AZ85,__
AZ86,__,__,__,AZ88,AZ88,AZ89,__,AZ90,__
__,__,__,__,AZ93,__,__,__,AZ95,AZ95
__,__,AZ97,AZ97,__,__,__,__,__,__


1-3,
__,__,__,__,__,__,AZ104,AZ104,AZ105,AZ105
AZ106,__,AZ107,__,__,__,AZ109,__,__,__
__,__,__,__,AZ113,AZ113,__,__,AZ115,__
__,__,__,__,__,__,AZ119,__,AZ120,__
AZ121,AZ121,__,__,AZ123,__,AZ124,__,AZ125,__
AZ126,__,AZ127,__,AZ128,__,AZ129,__,AZ130,__
AZ131,__,AZ132,__,AZ133,__,AZ134,__,AZ135,__
AZ136,__,AZ137,__,AZ138,AZ138,AZ139,AZ139,AZ140,__
AZ141,__,__,__,AZ143,__,AZ144,__,__,__
AZ146,__,AZ147,__,AZ148,AZ148,AZ149,__,AZ150,__


1-4,
__,__,__,__,__,__,AZ154,AZ154,AZ155,AZ155
AZ156,AZ156,AZ157,AZ157,AZ158,__,AZ159,__,AZ160,__
__,__,AZ162,__,AZ163,__,AZ164,AZ164,AZ165,__
AZ166,__,AZ167,__,AZ168,__,AZ169,AZ169,AZ170,__
AZ171,__,AZ172,__,AZ173,__,AZ174,__,AZ175,__
AZ176,__,AZ177,__,AZ178,__,AZ179,__,AZ180,__
AZ181,__,AZ182,__,AZ183,__,AZ184,__,AZ185,__
AZ186,__,AZ187,__,AZ188,__,AZ189,__,AZ190,__
__,__,__,__,AZ193,__,__,__,__,__
__,__,__,__,__,__,__,__,AZ200,__


EyalIBox,
AZ62,AZ62,AZ62,AZ62,AZ62,AZ62,__,__,__,__
AZ113,AZ113,AZ113,AZ163,__,__,__,__,__,__
AZ264,AZ264,AZ264,AZ264,AZ264,AZ258,AZ258,AZ258,AZ258,__
AZ257,__,__,__,__,__,__,__,__,__
AZ262,__,__,__,__,AZ266,__,__,__,__
AZ265,__,__,__,__,AZ261,__,__,__,__
AZ269,__,__,__,__,AZ256,AZ256,AZ256,__,__
AZ263,__,__,__,__,AZ260,__,__,__,__
AZ259,__,__,__,__,AZ267,__,__,__,__
__,__,__,__,__,__,__,__,__,__


Z1,
AZ191,AZ191,AZ225,AZ225,AZ225,AZ225,AZ225,__,__,__
AZ192,AZ192,__,__,__,AZ226,AZ226,AZ226,AZ226,AZ226
AZ197,AZ197,AZ197,AZ197,AZ197,AZ197,__,__,__,__
AZ196,AZ196,AZ196,AZ196,__,__,__,__,__,__
AZ195,AZ195,AZ195,AZ195,AZ195,__,AZ194,__,AZ191,AZ239
AZ194,AZ194,AZ194,AZ194,AZ194,AZ194,AZ194,AZ194,AZ191,AZ239
AZ198,__,AZ77,AZ77,AZ77,__,__,AZ192,AZ191,AZ239
AZ199,AZ199,AZ199,AZ77,AZ77,AZ77,__,AZ192,__,__
AZ202,AZ202,AZ202,AZ202,AZ202,__,__,__,__,__
AZ203,AZ203,AZ203,AZ203,AZ203,AZ203,AZ42,AZ42,AZ42,AZ42


A10,
AZ181,AZ181,__,__,__,AZ182,__,__,__,__
AZ183,__,__,__,__,AZ184,AZ184,__,__,__
AZ185,__,__,__,__,__,AZ186,__,__,__
AZ187,AZ187,__,__,__,AZ188,AZ188,AZ188,AZ188,__
AZ189,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
AZ193,AZ193,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,AZ200,AZ200,__,__,__


A11,
AZ201,AZ201,__,__,__,__,__,__,__,__
__,__,__,__,__,AZ204,AZ204,__,__,__
AZ205,__,__,__,__,AZ206,AZ206,__,__,__
AZ207,AZ207,__,__,__,AZ208,__,__,__,__
AZ209,AZ209,AZ209,AZ209,AZ209,AZ210,AZ210,__,__,__
AZ211,AZ211,__,__,__,AZ212,AZ212,__,__,__
AZ213,AZ213,__,__,__,AZ214,AZ214,__,__,__
AZ215,AZ215,__,__,__,AZ216,AZ216,__,__,__
AZ217,AZ217,__,__,__,AZ218,AZ218,__,__,__
AZ219,AZ219,__,__,__,__,__,__,__,__


A12,
AZ221,__,__,__,__,__,__,__,__,__
AZ223,__,__,__,__,AZ224,__,__,__,__
AZ225,AZ225,__,__,__,__,__,__,__,__
AZ227,AZ227,__,__,__,AZ228,AZ228,__,__,__
AZ229,AZ229,__,__,__,AZ230,AZ230,__,__,__
AZ231,AZ231,__,__,__,AZ232,AZ232,__,__,__
__,__,__,__,__,AZ234,AZ234,AZ234,__,__
AZ235,AZ235,AZ235,__,__,AZ236,AZ236,__,__,__
AZ237,AZ237,__,__,__,AZ238,AZ238,__,__,__
__,__,__,__,__,AZ240,__,__,__,__


A13,
